Symbol,DATE,CLOSE,Sector
BRITANNIA,2019-08-26,2533.85,food
JSWSTEEL,2019-08-26,214.1,iron_steel
GRASIM,2019-08-26,737.3,other
GAIL,2019-08-26,126.4,oil_refineries
HEROMOTOCO,2019-08-26,2590.95,auto
HINDALCO,2019-08-26,178.75,iron_steel
INFRATEL,2019-08-26,245.45,telecommunications
CIPLA,2019-08-26,466.55,pharmaceuticals
ADANIPORTS,2019-08-26,368.2,infra
RELIANCE,2019-08-23,1275.85,oil_refineries
SBIN,2019-08-23,271.1,banks
ICICIBANK,2019-08-23,395.4,banks
HDFCBANK,2019-08-23,1081.35,banks
BPCL,2019-08-23,329.35,oil_refineries
YESBANK,2019-08-23,59.25,banks
BAJFINANCE,2019-08-23,6884.6,finance
INDUSINDBK,2019-08-23,1310.5,banks
HDFC,2019-08-23,2043.75,finance
TCS,2019-08-23,2247.7,it
AXISBANK,2019-08-23,663.9,banks
LT,2019-08-23,1286.5,infra
TATAMOTORS,2019-08-23,111.05,auto
KOTAKBANK,2019-08-23,1470.2,banks
BHARTIARTL,2019-08-23,356.4,telecommunications
INFY,2019-08-23,802.2,it
POWERGRID,2019-08-23,201.5,power
MARUTI,2019-08-23,6254.35,auto
ONGC,2019-08-23,122.25,oil_refineries
TATASTEEL,2019-08-23,345.25,iron_steel
ASIANPAINT,2019-08-23,1580.4,chemical
HINDUNILVR,2019-08-23,1860.0,personal_care
SUNPHARMA,2019-08-23,427.8,pharmaceuticals
NTPC,2019-08-23,118.5,power
ZEEL,2019-08-23,351.15,media_entmt
COALINDIA,2019-08-23,188.0,mining
ITC,2019-08-23,236.1,other
VEDL,2019-08-23,137.4,mining
EICHERMOT,2019-08-23,15383.45,auto
IOC,2019-08-23,122.8,oil_refineries
DRREDDY,2019-08-23,2541.25,pharmaceuticals
BAJAJFINSV,2019-08-23,6884.6,finance
TITAN,2019-08-23,1073.5,other
TECHM,2019-08-23,683.85,it
ULTRACEMCO,2019-08-23,3861.8,chemical
